Data;CHT;Conteúdo Previsto
10/03/2026;2;Apresentação da disciplina. Posicionamento da disciplina no curso. CSS. HTML. JS Algoritmos +. Regras de negócio. Solicitar que criem contas no github.
12/03/2026;2;Subir para github. Baixar do github.
17/03/2026;2;Recapitulação JS. Conteúdos vistos em algoritmos. Exercícios.
24/03/2026;2;Recapitulação JS. Conteúdos vistos em algoritmos. Exercícios.
26/03/2026;2;Terminologia. Uso de IA generativa de forma produtiva. CSS e JS.
31/03/2026;2;Terminologia. Uso de IA generativa de forma produtiva. CSS e JS.
02/04/2026;2;Terminologia. Uso de IA generativa de forma produtiva. CSS e JS.
07/04/2026;2;Exercícios. Construção de prompts.
09/04/2026;2;Seletores CSS
14/04/2026;2;Exercícios com seletores css
16/04/2026;2;Seletor de elementos
23/04/2026;2;Exercícios com seletores de elementos.
28/04/2026;2;seletores de classe
30/04/2026;2;Seletores combinadores
05/05/2026;2;Avaliação do 1º bimestre
05/05/2026;1;1º Bimestre - Avaliação
07/05/2026;2;Avaliação de projetos
12/05/2026;2;Recuperação de conteúdos
14/05/2026;2;Recuperação de conteúdos
19/05/2026;2;Recuperação paralela 1º bimestre
21/05/2026;2;Cliente e Servidor. O cliente (navegador, aplicativo) faz requisições para obter ou enviar dados. O servidor processa essas requisições e retorna respostas, como páginas HTML, dados em JSON ou arquivos.
26/05/2026;2;Exercícios com uso de cliente/servidor.
28/05/2026;2;Linguagem de Marcação HTML. DOM
02/06/2026;2;Exercícios com manipulação da DOM
09/06/2026;2;Tag: listas
11/06/2026;2;Exercícios com listas
16/06/2026;2;Tag: Tabelas
18/06/2026;2;Exercícios com listas e tabelas
23/06/2026;2;Exercícios com listas e tabelas
25/06/2026;2;Exercícios com listas e tabelas
30/06/2026;2;Avaliação 2º Bimestre
30/06/2026;1;2º Bimestre - Avaliação
02/07/2026;2;Avaliação de projetos
07/07/2026;2;Revisão da avaliação
09/07/2026;2;Recuperação de conteúdos
14/07/2026;2;Recuperação paralela 2º bimestre
16/07/2026;2;Exercícios
11/08/2026;2;Construção de páginas dinâmicas com JS
13/08/2026;2;Exercícios
18/08/2026;2;Construção de páginas dinâmicas com JS
20/08/2026;2;Construção de páginas dinâmicas com JS
25/08/2026;2;gincana
27/08/2026;2;Construção de páginas dinâmicas com JS
01/09/2026;2;Construção de páginas dinâmicas com JS
03/09/2026;2;Construção de páginas dinâmicas com JS
08/09/2026;2;Construção de páginas dinâmicas com JS
10/09/2026;2;Construção de páginas dinâmicas com JS
15/09/2026;2;Construção de páginas dinâmicas com JS
17/09/2026;2;Construção de páginas dinâmicas com JS
22/09/2026;2;Construção de páginas dinâmicas com JS
24/09/2026;2;Construção de páginas dinâmicas com JS
29/09/2026;2;Avaliação 3º bimestre
29/09/2026;1;3º Bimestre - Avaliação
01/10/2026;2;Avaliação de projetos
06/10/2026;2;Recuperação de conteúdos
08/10/2026;2;Recuperação paralela 3º bimestre
13/10/2026;2;Sistema de autenticação - JavaScript (frontend)
15/10/2026;2;Validações
20/10/2026;2;Feedback ao usuário
22/10/2026;2;Envios assíncronos (backend)
27/10/2026;2;Backend - API
29/10/2026;2;Segurança (Hash de senha). Proteção contra ataques. JWT (JSON Web Token).
03/11/2026;2;Cookies e Sessões
05/11/2026;2;Rotas
10/11/2026;2;routers
12/11/2026;2;controllers
17/11/2026;2;Desenvolvimento de projetos
19/11/2026;2;Desenvolvimento de projetos
24/11/2026;2;Desenvolvimento de projetos
26/11/2026;2;Avaliação 4º bimestre
26/11/2026;1;4º Bimestre - Avaliação
01/12/2026;2;Avaliação de projetos
03/12/2026;2;Avaliação de projetos
08/12/2026;2;Avaliação de projetos
10/12/2026;2;Recuperação paralela 4º bimestre
15/12/2026;2;Avaliação de projetos
17/12/2026;2;Fechamento da disciplina
25/02/2026;1;Planejamento de Aula (da turma) cadastrado
08/03/2023;1;Plano de Ensino (da disciplina) aprovado
